"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NP_414543",609.480441215812,-0.080797649094579,0.465761323487947,-0.173474363413238,0.862278577396546,0.925793689622023
"NP_414544",123.467346151686,0.0445908005054198,0.449575732039484,0.0991841803896649,0.920992035139658,0.957871242440615
"NP_414545",118.379677262159,-0.163414202201943,0.36247575409199,-0.450827952924188,0.652113553139116,0.790767009881464
"NP_414546",22.2698133958953,0.744480197589435,0.392318824146945,1.89764077522466,0.0577434191997508,0.16020229619049
"NP_414547",398.915493243623,1.58386965284729,0.501025776242452,3.16125382754927,0.00157091540754755,0.0110044363813211
"NP_414548",26.7667830355947,0.677987659452747,0.465382487282138,1.45683964906423,0.145160648380912,0.305974672170827
"NP_414549",983.599811491231,-0.122770094912219,0.259951009755136,-0.472281661948011,0.636725757866077,0.7814775718948
"NP_414550",60.4659371563787,-0.523440821345063,0.300547573580558,-1.74162384713035,0.0815742857322286,0.202924055009633
"NP_414551",37.5376398658261,-0.519801095172567,0.277334789118885,-1.87427295660965,0.0608928129418417,0.165822017759505
"NP_414552",5.86681875993584,1.10738095760064,0.594269954364267,1.86343083554557,0.0624016750533893,0.168778641772343
"NP_414554",1.9257435272678,1.86753803844256,1.20736559437496,1.54678752412965,0.121914489565266,0.269958201988355
"NP_414555",6092.67330778844,0.0853772518405767,0.3728767837012,0.228969073893838,0.818892953079007,0.896509005074781
"NP_414556",266.372420909203,-0.0686857595247312,0.277336947233053,-0.247661771033388,0.804396112780145,0.88903678569434
"NP_414557",228.087501167187,0.289743482213175,0.130118958349768,2.22675839007507,0.0259634256914867,0.0897156356667172
"NP_414559",20.2450124199984,0.688763411103555,0.417925534233144,1.64805295366165,0.0993418052751346,0.233158392289585
"NP_414560",1970.34832942009,0.133440853300475,0.511757748107625,0.260750040021694,0.794285274134071,0.883052316036858
"NP_414561",344.765963092913,0.954181858194926,0.327659111665829,2.91211757653812,0.00358987480077275,0.0201660726513355
"NP_414562",29.910959112136,0.37487298421809,0.304068337254585,1.2328576779904,0.217628867736133,0.401467545283926
"NP_414563",18.3957222806414,0.399142977091136,0.499674248309827,0.798806379238588,0.424402690997065,0.61159259283492
"NP_414564",1094.74462109232,2.64003643179927,0.954881149758202,2.76478013255136,0.00569611747903692,0.0283908303924846
"NP_414565",4.02955865106235,1.26881880750971,0.896881031649549,1.41470135138892,0.157156077999496,0.322951420656635
"NP_414566",126.898601594442,-0.349420657210121,0.304104379063261,-1.14901553961981,0.250549573013691,0.437320135533783
"NP_414567",395.201872331379,-0.976726183980768,0.248453384017387,-3.93122511832004,8.45140885758781e-05,0.00115463240106893
"NP_414568",67.920174957544,-0.867704822774865,0.285013433094925,-3.04443483015017,0.00233117930888879,0.0146796467352997
"NP_414569",22.4616884580899,-0.592197606124813,0.391966419968801,-1.51083760229244,0.13082983176119,0.284137804283074
"NP_414570",53.6137140586801,-0.926720252240228,0.360424646044446,-2.5711900182485,0.0101349701045117,0.0433902446382878
"NP_414571",15.4748467553409,-0.523050329707738,0.455140360526355,-1.14920665155436,0.250470778781867,0.437320135533783
"NP_414572",49.923631145115,0.272541990852024,0.399434645258153,0.682319358341791,0.495037034910074,0.670264171073502
"NP_414573",114.931422281252,-0.473325724579433,0.471646918609928,-1.00355945497207,0.315591005760732,0.509963304326225
