"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NP_064721.1",3381.37763390986,-0.0512351598392752,0.142677299140443,-0.359098189746656,0.719521635791339,0.869315351045111
"NP_064722.1",1927.14552527874,-0.0833963738189436,0.114650746354301,-0.727394949189665,0.466984047698335,0.713833151019621
"NP_064723.1",3022.65849713593,-0.321038432462325,0.228491477907338,-1.40503460086383,0.160010989528005,0.408141844789653
"NP_064724.1",6399.50493535454,-0.0983779969268551,0.125491402957483,-0.78394212359062,0.433074071320172,0.687525189488008
"NP_064725.1",370.515513882564,0.152209818776776,0.130535628238634,1.16604042000333,0.243598103584684,0.509566526053321
"NP_064726.1",381.701458952546,-0.113472531112042,0.147071392665764,-0.771547267318815,0.440382616836553,0.692403559937075
"NP_064727.1",979.883153134232,-0.285113234012233,0.286198779908506,-0.996207021229719,0.319149568654129,0.590490446930643
"NP_064728.1",2217.77589331628,0.0106953944002638,0.186776050629193,0.057263200309859,0.954335534127947,0.982986823328971
"NP_064729.1",1192.80241298102,-0.287618663058717,0.170683421341295,-1.68510017433738,0.0919692460333679,0.304446101771122
"NP_248700.1",135.422695567285,-0.462891735033844,0.193218647623901,-2.39568872221308,0.0165891717822288,0.122447034217301
"NP_248701.1",2092.65431344048,-0.51189106043202,0.417812586095086,-1.22516907692083,0.220511522939863,0.482653010043257
"NP_248702.1",338.887905228209,-0.616510308520126,0.330049257373504,-1.86793423935035,0.0617712376501743,0.249325692624795
"NP_248703.1",156.799158738864,0.104775061795004,0.162106260916007,0.646335688720199,0.518061979860445,0.751994903124668
"NP_248704.1",38.8211778654047,0.390245020540375,0.230686708487954,1.69166668985072,0.0907095430144504,0.302256378941436
"NP_248705.1",350.587969578039,-0.190104563545077,0.365351461561286,-0.520333387288744,0.602831229290762,0.809112768026577
"NP_248706.1",1053.00552052301,0.104176157280876,0.119630027718368,0.870819469557652,0.383852732871741,0.643994116390925
"NP_248707.1",551.245606494223,0.257660985373908,0.261368648906487,0.985814428975733,0.324224183893987,0.595124839525357
"NP_248708.1",630.026900857452,0.178933319761581,0.243722024532763,0.73416967590275,0.462845332543867,0.710781203422858
"NP_248709.1",1605.98323093372,-0.394332420524005,0.212927842833136,-1.85195329684071,0.0640325296398824,0.253605662263121
"NP_248710.1",1163.85480110482,0.284479939561933,0.181339062791668,1.56877362870656,0.11670069526743,0.348347188129096
"NP_248711.1",58.9167670889347,0.461035102968693,0.264585705541012,1.74247925459915,0.0814246184317979,0.286804150521027
"NP_248712.1",640.871602705362,-0.182595457320164,0.140702191549263,-1.29774423063079,0.194375239275375,0.452062936081299
"NP_248713.1",387.481096441425,-0.00188252287749076,0.0990491437951646,-0.0190059480108566,0.984836360441173,0.992335114454684
"NP_248714.1",814.138522349391,-0.201182913648415,0.139111838874126,-1.44619548757783,0.148122379016736,0.392830881183121
"NP_248715.1",403.008253038869,-0.668928363252797,0.227357559113784,-2.94218659744682,0.00325903483285237,0.0494981533774738
"NP_248716.1",141.175425481897,-0.127799835549776,0.182872029399077,-0.698848456867518,0.484646741955502,0.72683933939252
"NP_248717.1",70.6455957596043,0.092620901022898,0.253598929042602,0.365225915474345,0.714942774751,0.867988628673233
"NP_248718.1",23.1702475132577,0.473935717663296,0.454034721644799,1.04383144079026,0.296563382369383,0.567093043387412
"NP_248719.1",39.9527723624989,0.999610534019952,0.292545102659081,3.41694502807949,0.000633280656125313,0.0180501224961256
"NP_248720.1",26.0471932996255,0.140046938622279,0.270329259372546,0.518060601162221,0.604415988025863,0.809480496734396
